# output relocated catalog from HYPODD (details can be found in Yao et al.[2019])
# EVID   YYYY MM DD HH MM  SECND  LONGITUDE   LATITUDE  DEPTH  ML  Pobs Sobs DX(m) DY(m) DZ(m)
								    P   S (phases)	
80328390 2010 03 28 08 25 11.160 -115.288509 32.309755  5.349  1.1  19   7   9.8  13.8  22.5
80328391 2010 03 28 08 28 57.530 -115.289217 32.310417  5.237  1.3  48  16  13.2  14.1  21.5
80328392 2010 03 28 08 30 40.480 -115.288208 32.309884  5.420  1.2  32  16  12.5  10.9  24.9
80328393 2010 03 28 08 31 32.410 -115.289559 32.309965  5.304  1.1  14   9  10.5  12.8  23.3
80328398 2010 03 28 09 12 30.370 -115.305786 32.292112 14.136  1.2   7  10  13.0  15.4  17.4
80328399 2010 03 28 09 14 51.480 -115.285221 32.310848  7.892  0.9   1   3  20.9  24.1  24.4
80328401 2010 03 28 09 29 52.120 -115.292529 32.294071  8.640  1.5  10   9   6.0   6.4   7.9
80328406 2010 03 28 14 31 13.660 -115.300871 32.247272 11.827  1.5   3   1  14.3  17.0  15.4
80328408 2010 03 28 23 32 11.360 -115.291056 32.316109  7.989  1.1  10  10  13.5  13.4  18.9
80328410 2010 03 28 23 51 43.080 -115.291227 32.316288  8.075  1.1   9  10   8.0  10.6  17.0
80329412 2010 03 29 01 45 04.380 -115.290535 32.315306  8.248  1.4  62  52   6.8   8.4  12.3
80329414 2010 03 29 01 49 14.080 -115.290780 32.315190  8.306  1.2  34  27   9.0   8.5  14.1
80329418 2010 03 29 02 39 39.670 -115.293677 32.285868 15.534  1.2   3   5  19.2  21.6  22.3
14605636 2010 03 29 05 34 50.180 -115.284896 32.308042  7.921  2.0  19  46  11.2  15.5  21.7
80329421 2010 03 29 05 36 10.400 -115.290438 32.314181  8.238  1.6  62  55   9.2   9.6  13.9
80329425 2010 03 29 07 08 45.650 -115.290373 32.314152  8.014  1.3  49  50   9.3   9.4  14.2
80329428 2010 03 29 09 51 02.940 -115.301807 32.286829  9.487  1.6  21  29   9.4  10.5  12.6
80329429 2010 03 29 09 58 34.290 -115.290397 32.316062  8.305  1.4  59  58   6.9   9.1  11.9
80329435 2010 03 29 21 24 34.700 -115.287134 32.309068  6.024  1.4   1   3  18.9  20.3  32.9
14605924 2010 03 29 22 43 18.560 -115.300334 32.282692  9.076  2.2   3   7  18.8  19.5  21.7
80330438 2010 03 30 02 29 50.340 -115.288924 32.314854  8.244  1.4  16  16  10.0  12.9  16.5
80330439 2010 03 30 02 39 41.450 -115.287345 32.315210  8.364  1.4   1   5  14.9  14.8  21.1
80330444 2010 03 30 08 36 40.000 -115.287459 32.314250  4.205  1.6  15  21   9.7   9.5  12.9
80330445 2010 03 30 08 49 17.300 -115.287948 32.313841  4.314  1.3  12   8  12.0  10.4  11.6
80330446 2010 03 30 08 51 43.280 -115.286849 32.314484  4.456  1.2   7   7  12.1   8.7  13.5
80330447 2010 03 30 09 21 59.410 -115.286890 32.313328  4.108  1.2  13   9  11.7   9.1  16.4
80330448 2010 03 30 10 08 18.990 -115.286987 32.314024  3.930  1.2  13  10  11.3   9.9  16.7
80330449 2010 03 30 14 29 31.470 -115.290991 32.285288 15.541  1.9  57  73  11.9  15.3  13.8
80330450 2010 03 30 14 29 57.070 -115.291211 32.285514 15.576  1.7  18  47  12.5  16.6  16.1
80330451 2010 03 30 22 41 34.280 -115.291406 32.313774  3.612  1.4   7  12  23.0  19.6  22.4
14606228 2010 03 31 02 32 53.540 -115.289819 32.314850  8.227  2.2  75  67   6.2   7.1  11.7
80331456 2010 03 31 02 36 02.620 -115.290430 32.315892  8.218  1.5  29  32   8.2   8.4  12.0
80331458 2010 03 31 02 51 27.040 -115.290161 32.316156  8.333  1.9  74  52   7.3   9.4  11.8
80331459 2010 03 31 05 07 33.680 -115.288639 32.314545  8.044  1.3  26  39   8.5   7.9  11.7
80401466 2010 04 01 19 09 13.600 -115.292480 32.278259 15.599  1.3  11  19  15.4  19.5  25.8
80401467 2010 04 01 21 31 58.520 -115.304842 32.292261 14.337  1.4   5  10   6.1   6.2   8.3
80401468 2010 04 01 21 32 46.320 -115.304321 32.292377 14.405  1.1   1   3   7.4   8.5   9.4
80403474 2010 04 03 05 53 19.950 -115.302067 32.247732 11.662  1.1   3   3  14.2  13.3  16.5
80403479 2010 04 03 14 14 25.850 -115.288924 32.270880  1.886  1.0  10  17  10.6  11.0  10.6
80403480 2010 04 03 14 50 46.730 -115.288940 32.268884  2.255  0.9   4  14   8.5  13.9  13.8
80403481 2010 04 03 15 36 10.830 -115.303849 32.273995 11.885  1.0   1   3  26.1  26.9  27.2
80403483 2010 04 03 15 36 28.950 -115.296582 32.278448 12.065  1.1   1   3  26.0  27.0  32.8
80403484 2010 04 03 15 43 19.500 -115.288916 32.270044  2.053  1.7  88 119   8.8  10.5   6.1
14607108 2010 04 03 15 44 46.970 -115.288900 32.269786  2.050  2.0 100 121   8.2  10.8   7.4
80403489 2010 04 03 15 45 48.820 -115.289168 32.269080  2.076  1.1   2   6   7.4  10.0   9.0
80403490 2010 04 03 15 45 54.650 -115.289567 32.268195  2.108  1.1   4  12  11.6  12.9  12.3
80403492 2010 04 03 15 54 46.220 -115.289119 32.269285  2.131  1.3  53  77   6.1   8.9   9.9
14607132 2010 04 03 16 55 22.670 -115.291976 32.271419  2.144  1.9  37  89  15.9  14.9  12.9
14607140 2010 04 03 17 03 34.680 -115.295915 32.276082  1.724  2.1  43  48  24.0  18.6  14.3
80403497 2010 04 03 17 03 44.800 -115.292611 32.279698  1.918  1.9   4  12  20.2  21.3  19.2
80403502 2010 04 03 19 03 27.880 -115.291333 32.280369 15.425  1.7  61  63  11.5  13.3  11.4
80403504 2010 04 03 19 06 44.300 -115.290495 32.280721 15.445  1.6  52  57  10.5  13.2  17.1
80403506 2010 04 03 19 07 03.680 -115.288900 32.278507 15.524  1.4   2   2  22.0  26.1  25.9
80403508 2010 04 03 19 07 24.600 -115.290633 32.279903 15.491  2.1 114 136  11.2  11.0  14.4
