# The detected catalog preceding the 2010 Mw7.2 El Mayor-Cucapah mainshock, Yao et al. (2019)
# PEAK AR: peak amplitude ratio; PCF AR: Principal Component Fit amplitude ratio
# EVID   YYYY MM DD HH MM SECD  LONGITUDE LATITUDE DEPTH   ML    ML   TEMPID   MCCV
#							PEAK AR     Best Matched
							       PCF AR             
80321114 2010 03 21 16 23 29.47 -115.2850 32.2805 10.540  1.13  0.70 14603524 0.299
80321116 2010 03 21 16 25 18.38 -115.2901 32.2732  2.161  1.05  0.31 14607132 0.226
80321118 2010 03 21 16 26 37.18 -115.2902 32.2747  1.411  1.15  0.67 14607140 0.185
80321120 2010 03 21 17 06 08.10 -115.3053 32.2630  9.740  1.21  1.16 14607180 0.364
80321122 2010 03 21 19 24 32.15 -115.2953 32.3175  4.438  0.80  0.80 14601852 0.184
80321123 2010 03 21 19 34 00.50 -115.3087 32.2698  9.190  1.19  0.88 14603996 0.443
80321125 2010 03 21 19 52 08.00 -115.2850 32.2805 10.540  1.21  1.02 14603524 0.305
80321127 2010 03 21 19 52 29.82 -115.2850 32.2805 10.540  1.32  1.20 14603524 0.406
80321129 2010 03 21 19 54 27.07 -115.2901 32.2732  2.161  1.12  0.49 14607132 0.211
80321131 2010 03 21 20 12 06.80 -115.2900 32.2726  2.209  0.84  0.67 14603292 0.375
80321132 2010 03 21 20 12 16.15 -115.2907 32.2791 15.377  1.44  0.66 14607260 0.177
80321133 2010 03 21 20 12 22.55 -115.2850 32.2805 10.540  1.36  0.84 14603524 0.289
14603292 2010 03 21 20 14 55.83 -115.2900 32.2726  2.209  1.46  1.74 14603292 1.000
80321137 2010 03 21 20 38 38.30 -115.3087 32.2698  9.190  1.27  0.95 14603996 0.441
80321139 2010 03 21 20 45 28.40 -115.2901 32.2707  2.188  1.26  1.06 14607108 0.377
80321141 2010 03 21 21 29 44.95 -115.2901 32.2707  2.188  0.99  0.39 14607108 0.168
80321142 2010 03 21 21 31 41.50 -115.2863 32.2588 12.880  1.67  0.73 14603532 0.309
80321143 2010 03 21 21 32 10.38 -115.2863 32.2588 12.880  1.29  0.45 14603532 0.176
14603364 2010 03 21 22 37 22.15 -115.2850 32.2948  2.420  1.79  1.67 14603364 1.000
80321146 2010 03 21 23 02 25.57 -115.3047 32.2967  4.390  1.28  0.54 14603372 0.533
14603372 2010 03 21 23 02 55.40 -115.3047 32.2967  4.390  2.03  1.49 14603372 1.000
80321148 2010 03 21 23 05 54.65 -115.3087 32.2698  9.190  1.00  0.63 14603996 0.364
80321149 2010 03 21 23 06 39.10 -115.2890 32.2861 17.386  1.27  1.19 14607164 0.431
80321151 2010 03 21 23 07 08.08 -115.3053 32.2630  9.740  1.20  1.15 14607180 0.416
14603396 2010 03 21 23 10 18.65 -115.2827 32.2687 14.790  3.41  3.43 14603396 1.000
80321156 2010 03 21 23 10 55.40 -115.3053 32.2630  9.740  2.38  2.15 14607180 0.273
80321157 2010 03 21 23 11 52.03 -115.3053 32.2630  9.740  1.31  1.31 14607180 0.250
80321158 2010 03 21 23 13 27.73 -115.3053 32.2630  9.740  0.80  0.66 14607180 0.327
80321160 2010 03 21 23 17 28.53 -115.2910 32.2785 15.427  0.35 -0.05 14603404 0.259
80321162 2010 03 21 23 23 51.90 -115.2910 32.2785 15.427  0.32  0.02 14603404 0.423
80321164 2010 03 21 23 24 37.38 -115.2910 32.2785 15.427  0.54  0.48 14603404 0.623
80321165 2010 03 21 23 30 18.88 -115.2910 32.2785 15.427  0.31 -0.34 14603404 0.197
14603404 2010 03 21 23 33 25.15 -115.2910 32.2785 15.427  1.31  1.31 14603404 1.000
80321168 2010 03 21 23 45 33.90 -115.2887 32.3217  1.620  1.00  0.56 14603412 0.366
14603412 2010 03 21 23 46 08.45 -115.2887 32.3217  1.620  2.22  2.25 14603412 1.000
80321172 2010 03 21 23 48 42.98 -115.3047 32.2967  4.390  1.27  0.48 14603372 0.306
80321174 2010 03 21 23 51 47.95 -115.2910 32.2785 15.427  0.42  0.58 14603404 0.476
80321176 2010 03 21 23 53 19.10 -115.2910 32.2785 15.427  0.70  0.95 14603404 0.573
80322177 2010 03 22 00 02 53.03 -115.3002 32.2762 11.960  1.03  0.64 14607204 0.219
80322178 2010 03 22 00 12 11.85 -115.2850 32.2805 10.540  1.22  1.08 14603524 0.521
80322180 2010 03 22 00 46 13.20 -115.3047 32.2967  4.390  1.15  0.32 14603372 0.200
80322182 2010 03 22 00 53 28.38 -115.2910 32.2785 15.427  1.30  1.29 14603404 0.426
80322183 2010 03 22 00 58 00.48 -115.3053 32.2630  9.740  0.71  0.52 14607180 0.276
80322184 2010 03 22 01 08 11.23 -115.2985 32.2883  8.810  1.22  1.08 14603540 0.596
80322186 2010 03 22 01 14 04.38 -115.2985 32.2883  8.810  1.18  1.07 14603540 0.685
80322187 2010 03 22 01 24 53.22 -115.3198 32.3577  6.800  0.69  0.24 14603212 0.226
80322188 2010 03 22 01 50 56.07 -115.3047 32.2967  4.390  1.24  0.19 14603372 0.213
80322189 2010 03 22 02 21 31.88 -115.2901 32.2707  2.188  0.87  0.51 14607108 0.263
80322190 2010 03 22 02 42 52.35 -115.3087 32.2698  9.190  0.96  0.57 14603996 0.324
80322192 2010 03 22 03 00 07.75 -115.2901 32.2707  2.188  1.47  1.41 14607108 0.583
80322194 2010 03 22 03 01 26.75 -115.2901 32.2707  2.188  0.94  0.54 14607108 0.285
80322195 2010 03 22 03 12 49.50 -115.2743 32.2983 11.160  0.88  0.52 14603476 0.414
14603476 2010 03 22 03 17 14.85 -115.2743 32.2983 11.160  2.34  2.36 14603476 1.000
80322198 2010 03 22 03 20 23.30 -115.3002 32.2762 11.960  1.31  1.21 14607204 0.437
80322200 2010 03 22 03 23 57.05 -115.2743 32.2983 11.160  1.05  0.95 14603476 0.344
80322202 2010 03 22 03 25 38.35 -115.2743 32.2983 11.160  1.12  1.07 14603476 0.408
80322204 2010 03 22 03 40 58.38 -115.3002 32.2762 11.960  1.04  0.54 14607204 0.259
80322205 2010 03 22 03 47 50.45 -115.3087 32.2698  9.190  0.96  0.51 14603996 0.348
14603524 2010 03 22 04 23 38.40 -115.2850 32.2805 10.540  2.48  2.63 14603524 1.000
14603532 2010 03 22 04 28 10.15 -115.2863 32.2588 12.880  3.23  3.21 14603532 1.000
80322209 2010 03 22 04 31 11.83 -115.2890 32.2861 17.386  0.85  0.10 14607164 0.304
80322210 2010 03 22 04 32 25.22 -115.2907 32.2791 15.377  1.53  1.25 14607260 0.808
80322212 2010 03 22 04 42 03.55 -115.2901 32.2732  2.161  0.97  0.46 14607132 0.326
80322214 2010 03 22 04 54 30.12 -115.2850 32.2805 10.540  0.95  0.84 14603524 0.625
80322216 2010 03 22 05 06 48.77 -115.3002 32.2762 11.960  0.91  0.91 14607204 0.232
14603540 2010 03 22 05 14 41.80 -115.2985 32.2883  8.810  2.70  2.84 14603540 1.000
80322218 2010 03 22 05 22 48.20 -115.2850 32.2948  2.420  0.66 -0.03 14603364 0.237
80322219 2010 03 22 05 33 35.35 -115.2901 32.2707  2.188  0.77  0.77 14607108 0.197
80322220 2010 03 22 05 45 07.57 -115.2887 32.3217  1.620  0.90  0.75 14603412 0.488
80322222 2010 03 22 05 47 48.82 -115.2901 32.2707  2.188  1.07  0.91 14607108 0.511
80322224 2010 03 22 06 12 01.75 -115.2901 32.2707  2.188  0.78  0.00 14607108 0.210
80322225 2010 03 22 06 18 54.62 -115.2901 32.2707  2.188  1.46  1.30 14607108 0.751
80322227 2010 03 22 06 34 41.65 -115.2890 32.2861 17.386  1.40  1.14 14607164 0.555
80322228 2010 03 22 06 34 58.73 -115.2890 32.2861 17.386  1.09  0.78 14607164 0.381
80322229 2010 03 22 06 38 46.28 -115.2953 32.3175  4.438  0.80  0.61 14601852 0.255
80322230 2010 03 22 06 44 30.15 -115.2901 32.2732  2.161  1.91  1.65 14607132 0.624
80322232 2010 03 22 07 09 34.85 -115.2909 32.2780 15.544  1.84  1.59 14607244 0.564
80322233 2010 03 22 07 56 07.70 -115.3002 32.2762 11.960  0.97  0.62 14607204 0.469
80322234 2010 03 22 08 25 36.62 -115.2901 32.2707  2.188  1.04  0.82 14607108 0.721
80322236 2010 03 22 08 26 03.55 -115.2901 32.2707  2.188  0.70  0.28 14607108 0.354
80322238 2010 03 22 09 18 51.90 -115.2887 32.3217  1.620  0.67  0.18 14603412 0.292
80322239 2010 03 22 09 31 26.15 -115.2907 32.2791 15.377  0.95  0.21 14607260 0.269
80322240 2010 03 22 09 36 05.07 -115.2907 32.2791 15.377  0.90  0.37 14607260 0.466
80322242 2010 03 22 10 12 26.55 -115.2900 32.2726  2.209  0.56  0.39 14603292 0.619
80322243 2010 03 22 10 21 11.03 -115.2743 32.2983 11.160  0.81  0.15 14603476 0.173
80322244 2010 03 22 10 21 34.22 -115.2890 32.2861 17.386  0.90 -0.03 14607164 0.222
80322245 2010 03 22 10 22 26.97 -115.2890 32.2861 17.386  0.98  0.44 14607164 0.400
80322246 2010 03 22 10 31 26.05 -115.2901 32.2707  2.188  0.97  0.72 14607108 0.686
80322248 2010 03 22 10 43 38.62 -115.3002 32.2762 11.960  1.13  1.13 14607204 0.257
80322249 2010 03 22 12 06 47.73 -115.2890 32.2861 17.386  1.38  1.12 14607164 0.579
80322250 2010 03 22 13 23 59.40 -115.3198 32.3577  6.800  0.81  0.76 14603212 0.491
80322251 2010 03 22 13 37 49.75 -115.2905 32.2690  1.814  1.21  0.94 14607268 0.412
80322252 2010 03 22 17 27 38.97 -115.2901 32.2707  2.188  1.14  0.98 14607108 0.539
80322254 2010 03 22 18 09 01.15 -115.3087 32.2698  9.190  1.11  0.61 14603996 0.234
80322255 2010 03 22 18 15 04.62 -115.2850 32.2805 10.540  1.21  0.89 14603524 0.336
80322257 2010 03 22 20 57 44.98 -115.3022 32.2413 12.100  1.45  1.32 14607276 0.424
80322258 2010 03 22 20 58 12.07 -115.3022 32.2413 12.100  1.18  0.67 14607276 0.205
80322259 2010 03 22 22 29 09.05 -115.2901 32.3104  5.411  1.34  0.54 14605412 0.234
80322260 2010 03 22 22 45 34.62 -115.2901 32.2707  2.188  1.48  1.27 14607108 0.371
80323261 2010 03 23 00 35 44.45 -115.2901 32.2732  2.161  1.39  0.94 14607132 0.263
80323262 2010 03 23 01 25 15.62 -115.2850 32.2805 10.540  1.09  0.79 14603524 0.217
80323263 2010 03 23 04 17 20.83 -115.2901 32.2707  2.188  1.47  1.29 14607108 0.665
80323265 2010 03 23 04 22 26.68 -115.2901 32.2707  2.188  1.19  0.52 14607108 0.227
80323266 2010 03 23 05 48 54.23 -115.2947 32.2827  8.340  1.06  0.55 30677759 0.220
80323267 2010 03 23 05 56 07.65 -115.2890 32.2861 17.386  1.22  0.24 14607164 0.162
80323268 2010 03 23 07 00 47.45 -115.2850 32.2805 10.540  1.03  0.55 14603524 0.183
80323269 2010 03 23 07 36 11.60 -115.3087 32.2698  9.190  1.01  0.61 14603996 0.417
80323270 2010 03 23 07 58 20.40 -115.3053 32.2630  9.740  1.19  0.96 14607180 0.394
80323271 2010 03 23 08 30 06.97 -115.3053 32.2630  9.740  0.80  0.30 14607180 0.432
80323272 2010 03 23 08 30 51.25 -115.3053 32.2630  9.740  1.51  1.24 14607180 0.734
80323273 2010 03 23 08 31 40.62 -115.3053 32.2630  9.740  0.92  0.32 14607180 0.328
80323274 2010 03 23 09 38 19.85 -115.2885 32.3159  8.596  1.03  0.35 14606228 0.183
80323275 2010 03 23 11 03 26.50 -115.3053 32.2630  9.740  1.04  0.75 14607180 0.361
80323276 2010 03 23 11 04 13.45 -115.2947 32.2827  8.340  0.98  0.32 30677759 0.157
80323277 2010 03 23 11 35 00.53 -115.3053 32.2630  9.740  1.29  1.10 14607180 0.249
80323278 2010 03 23 12 36 27.80 -115.2895 32.3154  8.944  1.01  0.56 14607556 0.215
80323279 2010 03 23 17 30 50.97 -115.2901 32.2732  2.161  1.74  1.38 14607132 0.472
80323281 2010 03 23 17 31 01.47 -115.2901 32.2732  2.161  1.69  1.28 14607132 0.360
14603996 2010 03 23 18 38 05.20 -115.3087 32.2698  9.190  2.16  1.92 14603996 1.000
80323285 2010 03 23 18 38 37.53 -115.3053 32.2630  9.740  1.21  0.97 14607180 0.368
80323286 2010 03 23 18 39 03.30 -115.3087 32.2698  9.190  2.06  1.84 14603996 0.692
80323287 2010 03 23 18 39 47.73 -115.3087 32.2698  9.190  1.27  0.68 14603996 0.345
80323288 2010 03 23 18 41 37.15 -115.3087 32.2698  9.190  1.24  0.63 14603996 0.300
80323289 2010 03 23 19 03 24.60 -115.3087 32.2698  9.190  1.43  0.95 14603996 0.457
80323290 2010 03 23 19 08 21.25 -115.3087 32.2698  9.190  1.21  0.64 14603996 0.262
80323291 2010 03 23 19 37 52.18 -115.2907 32.2791 15.377  1.41  0.87 14607260 0.351
80323293 2010 03 23 21 38 17.32 -115.2947 32.2827  8.340  1.75  1.64 30677759 0.635
80323294 2010 03 23 21 47 50.50 -115.2947 32.2827  8.340  1.29  0.80 30677759 0.289
80324295 2010 03 24 01 18 29.47 -115.3022 32.2413 12.100  0.97  0.63 14607276 0.347
80324296 2010 03 24 01 20 16.70 -115.3022 32.2413 12.100  1.37  1.08 14607276 0.573
80324297 2010 03 24 01 25 31.70 -115.2902 32.2747  1.411  1.14  0.57 14607140 0.215
80324298 2010 03 24 02 23 01.65 -115.2953 32.3175  4.438  0.83  0.57 14601852 0.283
80324299 2010 03 24 06 11 50.95 -115.2861 32.3128  3.663  1.15  0.88 14601812 0.530
80324300 2010 03 24 06 12 35.30 -115.2861 32.3128  3.663  0.85  0.24 14601812 0.173
80324301 2010 03 24 06 25 45.55 -115.2901 32.3104  5.411  0.88  0.29 14605412 0.208
80324302 2010 03 24 06 49 01.38 -115.3022 32.2413 12.100  0.82  0.38 14607276 0.222
80324303 2010 03 24 08 02 41.43 -115.2917 32.2843 16.661  0.90 -0.07 14604732 0.144
80324304 2010 03 24 08 22 52.75 -115.3087 32.2698  9.190  0.91  0.39 14603996 0.576
80324305 2010 03 24 08 28 12.30 -115.2861 32.3128  3.663  1.07  0.81 14601812 0.460
80324306 2010 03 24 13 01 00.08 -115.3002 32.2762 11.960  1.15  0.55 14607204 0.216
80324307 2010 03 24 13 51 32.03 -115.3022 32.2413 12.100  1.07  1.07 14607276 0.196
80324308 2010 03 24 13 51 36.05 -115.3022 32.2413 12.100  0.96  0.70 14607276 0.243
80324309 2010 03 24 13 54 38.03 -115.2985 32.2883  8.810  1.43  1.34 14603540 0.452
80324310 2010 03 24 14 01 16.30 -115.2901 32.2707  2.188  1.01  1.01 14607108 0.176
80324311 2010 03 24 14 29 15.53 -115.3002 32.2762 11.960  1.07  0.62 14607204 0.199
80324312 2010 03 24 15 32 59.78 -115.3053 32.2630  9.740  0.89  0.46 14607180 0.291
80324313 2010 03 24 16 09 45.08 -115.3087 32.2698  9.190  1.20  0.57 14603996 0.220
80324314 2010 03 24 16 40 31.45 -115.3022 32.2413 12.100  1.55  1.47 14607276 0.406
80324315 2010 03 24 18 00 09.90 -115.3022 32.2413 12.100  1.17  0.94 14607276 0.247
80324316 2010 03 24 18 24 56.40 -115.3002 32.2762 11.960  1.45  1.05 14607204 0.318
80324317 2010 03 24 20 39 59.10 -115.3047 32.2967  4.390  1.42  0.44 14603372 0.315
80324318 2010 03 24 22 57 53.68 -115.3002 32.2762 11.960  1.82  1.75 14607204 0.364
80324319 2010 03 24 23 04 15.78 -115.2850 32.2805 10.540  1.08  0.24 14603524 0.196
80324320 2010 03 24 23 36 54.25 -115.2895 32.2808 15.675  1.43  0.65 10169070 0.263
80325321 2010 03 25 03 26 01.60 -115.3002 32.2762 11.960  1.52  1.06 14607204 0.402
80325322 2010 03 25 06 23 37.88 -115.2917 32.2843 16.661  0.89  0.07 14604732 0.151
80325323 2010 03 25 07 55 07.50 -115.2863 32.2588 12.880  1.70  1.34 14603532 0.315
80325324 2010 03 25 08 11 57.85 -115.3053 32.2630  9.740  1.22  0.95 14607180 0.442
80325325 2010 03 25 09 08 15.70 -115.3053 32.2630  9.740  1.41  1.18 14607180 0.408
14604588 2010 03 25 11 55 38.95 -115.3098 32.3103  9.090  1.73  1.61 14604588 1.000
80325327 2010 03 25 17 37 53.07 -115.3053 32.2630  9.740  1.06  0.73 14607180 0.338
80325328 2010 03 25 17 45 49.70 -115.3053 32.2630  9.740  0.85  0.64 14607180 0.308
80325329 2010 03 25 17 45 57.55 -115.3053 32.2630  9.740  0.88  0.88 14607180 0.214
14604732 2010 03 25 20 26 25.62 -115.2917 32.2843 16.661  2.61  2.76 14604732 1.000
80325332 2010 03 25 20 27 18.95 -115.2874 32.2837 15.300  1.54  1.54 14605060 0.154
80325333 2010 03 25 20 51 11.70 -115.2893 32.2761  1.242  1.11  0.58 14607212 0.200
80325334 2010 03 25 23 44 19.80 -115.2947 32.2827  8.340  1.36  0.90 30677759 0.336
80326335 2010 03 26 04 28 43.05 -115.2890 32.2861 17.386  1.39  1.11 14607164 0.390
